Unnamed: 0,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0,0,1,13,4,1,71,0,8,0,0,1
1,1,1,13,3,1,72,0,7,0,0,1
2,2,1,13,3,1,72,0,7,0,0,1
3,3,1,13,3,1,72,0,8,0,0,1
4,4,1,13,3,1,73,0,8,0,0,1
5,5,1,12,3,1,72,0,8,0,0,1
6,6,1,13,3,1,73,0,8,0,0,1
7,7,1,13,3,1,73,0,8,0,0,1
8,8,1,14,3,1,72,0,8,0,0,1
9,9,1,13,3,1,72,0,8,0,0,1
10,10,1,12,3,1,73,0,8,0,0,1
11,11,1,12,3,1,73,0,8,0,0,1
12,12,1,12,3,1,73,0,8,0,0,1
13,13,1,12,3,1,73,0,8,0,0,1
14,14,1,12,3,1,73,0,8,0,0,1
15,15,1,12,3,1,73,0,8,0,0,1
16,16,1,12,3,1,73,0,8,0,0,1
17,17,1,14,3,0,71,0,9,0,0,1
18,18,1,13,3,1,72,0,8,0,0,1
19,19,1,13,3,1,72,0,8,0,0,1
20,20,1,12,3,1,72,0,8,0,0,1
21,21,1,14,3,0,72,0,9,0,0,1
22,22,1,12,3,1,72,0,8,0,0,1
23,23,1,12,3,1,73,0,8,0,0,1
24,24,1,13,3,1,72,0,8,0,0,1
25,25,1,12,3,1,73,0,8,0,0,1
26,26,1,13,3,1,72,0,8,0,0,1
27,27,1,12,3,1,73,0,8,0,0,1
28,28,1,12,3,1,73,0,8,0,0,1
29,29,1,13,3,1,72,0,8,0,0,1
30,30,1,12,3,1,73,0,8,0,0,1
31,31,1,12,3,1,73,0,8,0,0,1
32,32,1,12,3,1,72,0,8,0,0,1
33,33,1,12,3,1,73,0,8,0,0,1
34,34,1,12,3,1,72,0,8,0,0,1
35,35,1,13,3,1,72,0,8,0,0,1
36,36,1,13,3,1,71,0,8,0,0,1
37,37,1,12,3,1,72,0,8,0,0,1
38,38,1,14,3,0,71,0,9,0,0,1
39,39,1,14,3,0,71,0,9,0,0,1
40,40,1,12,3,1,73,0,8,0,0,1
41,41,1,12,3,1,73,0,8,0,0,1
42,42,1,13,3,1,72,0,8,0,0,1
43,43,1,13,3,0,71,0,9,0,0,1
44,44,1,12,3,1,72,0,8,0,0,1
45,45,1,13,3,1,71,0,9,0,0,1
46,46,1,13,3,1,72,0,8,0,0,1
47,47,1,13,3,0,71,0,9,0,0,1
48,48,1,13,3,0,71,0,10,0,0,1
49,49,1,13,3,1,72,0,8,0,0,1
50,50,1,13,3,0,71,0,10,0,0,1
51,51,1,13,3,1,72,0,9,0,0,1
52,52,1,13,2,1,72,0,9,0,0,1
53,53,1,13,2,1,72,0,9,0,0,1
54,54,1,13,2,1,72,0,9,0,0,1
55,55,1,12,2,1,73,0,9,0,0,1
56,56,1,12,3,1,72,0,8,0,0,1
57,57,1,12,3,1,72,0,8,0,0,1
58,58,1,13,3,1,72,0,8,0,0,1
59,59,1,13,3,1,72,0,8,0,0,1
60,60,1,13,3,1,72,0,8,0,0,1
61,61,1,13,3,1,71,0,8,0,0,1
62,62,1,13,3,0,71,0,9,0,0,1
63,63,1,14,3,0,71,0,9,0,0,1
64,64,1,13,3,0,72,0,9,0,0,1
65,65,1,13,3,1,71,0,9,0,0,1
66,66,1,13,3,0,72,0,9,0,0,1
67,67,1,13,3,0,72,0,9,0,0,1
68,68,1,13,3,0,72,0,9,0,0,1
69,69,1,13,3,0,71,0,10,0,0,1
70,70,1,14,3,1,71,0,7,0,0,2
71,71,1,13,3,1,71,0,8,0,0,2
72,72,1,13,3,1,73,0,7,0,0,2
73,73,1,13,3,1,72,0,7,0,0,2
74,74,1,13,3,1,73,0,7,0,0,2
75,75,1,13,3,1,73,0,7,0,0,2
76,76,1,13,3,1,72,0,8,0,0,2
77,77,1,13,3,1,72,0,8,0,0,2
78,78,1,13,3,1,72,0,7,0,0,2
79,79,1,12,3,1,72,0,7,0,0,2
80,80,1,12,3,2,72,0,7,0,0,2
81,81,1,13,3,1,73,0,7,0,0,2
82,82,1,13,3,1,72,0,8,0,0,2
83,83,1,13,3,1,72,0,8,0,0,2
84,84,1,14,3,2,72,1,7,0,0,2
85,85,1,13,3,1,72,0,8,0,0,2
86,86,1,13,3,1,73,0,8,0,0,2
87,87,1,13,3,1,72,0,8,0,0,2
88,88,1,13,3,1,72,0,8,0,0,2
89,89,1,12,3,1,73,0,8,0,0,2
90,90,1,12,3,1,72,0,8,0,0,2
91,91,1,12,3,1,73,0,8,0,0,2
92,92,1,13,3,1,73,0,8,0,0,2
93,93,1,13,3,1,73,0,8,0,0,2
94,94,1,12,3,1,73,0,8,0,0,2
95,95,1,13,3,1,72,0,8,0,0,2
96,96,1,13,3,1,72,0,9,0,0,2
97,97,1,12,3,1,73,0,8,0,0,2
98,98,1,12,2,1,73,0,8,0,0,2
99,99,1,12,2,1,72,0,8,0,0,2
100,100,1,12,2,1,73,0,8,0,0,2
101,101,1,12,2,1,72,0,9,0,0,2
102,102,1,12,2,0,73,0,9,0,0,2
103,103,1,13,3,0,70,0,11,0,0,2
104,104,1,13,2,1,71,0,10,0,0,2
105,105,1,11,0,1,72,0,13,0,0,2
106,106,1,10,0,2,69,0,13,3,0,2
107,107,1,12,0,1,70,0,16,0,0,2
